FG,common,scientific_name,variable,units,used,abs_min,pref_min_10,pref_max_90,abs_max,adjustment_notes,data_source_notes
Blue Catfish YoY,Blue Catfish,Ictalurus furcatus,depth,m,,0,2,10,20,,Guessed
Blue Catfish YoY,Blue Catfish,Ictalurus furcatus,temperature,degC,,,,,,,
Blue Catfish YoY,Blue Catfish,Ictalurus furcatus,salinity,psu,,0,0,7,22,,"Nepal and Fabrizio 2019, High salinity tolerance of invasive blue catfish suggests potential for further range expansion in the Chesapeake Bay region, https://doi.org/10.1371/journal.pone.0224770"
Blue Catfish YoY,Blue Catfish,Ictalurus furcatus,bottom_do,mmol·m-3,,,,,,,
Blue Catfish Sub-harvest,Blue Catfish,Ictalurus furcatus,depth,m,,0,2,10,20,,Guessed
Blue Catfish Sub-harvest,Blue Catfish,Ictalurus furcatus,temperature,degC,,,,,,,
Blue Catfish Sub-harvest,Blue Catfish,Ictalurus furcatus,salinity,psu,,0,0,7,22,,"Nepal and Fabrizio 2019, High salinity tolerance of invasive blue catfish suggests potential for further range expansion in the Chesapeake Bay region, https://doi.org/10.1371/journal.pone.0224770"
Blue Catfish Sub-harvest,Blue Catfish,Ictalurus furcatus,bottom_do,mmol·m-3,,,,,,,
Blue Catfish Trophy,Blue Catfish,Ictalurus furcatus,depth,m,,0,2,10,20,,Guessed
Blue Catfish Trophy,Blue Catfish,Ictalurus furcatus,temperature,degC,,,,,,,
Blue Catfish Trophy,Blue Catfish,Ictalurus furcatus,salinity,psu,,0,0,7,22,,"Nepal and Fabrizio 2019, High salinity tolerance of invasive blue catfish suggests potential for further range expansion in the Chesapeake Bay region, https://doi.org/10.1371/journal.pone.0224770"
Blue Catfish Trophy,Blue Catfish,Ictalurus furcatus,bottom_do,mmol·m-3,,,,,,,
Striped Bass,Striped Bass,Morone saxatilis,depth,m,1,30,32,41,50,,Aquamaps HSPEN download Dec 2025
Striped Bass,Striped Bass,Morone saxatilis,temperature,degC,1,5.78,8.24,23.84,26.81,,Aquamaps HSPEN download Dec 2025
Striped Bass,Striped Bass,Morone saxatilis,salinity,psu,1,18.28,22.23,35.02,36.45,,Aquamaps HSPEN download Dec 2025
Striped Bass,Striped Bass,Morone saxatilis,PP,mgC·m-3·day-2,1,0.82,4.71,42.37,56.51,,Aquamaps HSPEN download Dec 2025
Striped Bass,Striped Bass,Morone saxatilis,sea_ice_conc,0-1 fraction,1,-0.99,0,0.03,0.11,,Aquamaps HSPEN download Dec 2025
Striped Bass,Striped Bass,Morone saxatilis,bottom_do,mmol·m-4,0,134.82,214.26,316.12,367.92,,Aquamaps HSPEN download Dec 2025
Striped Bass,Striped Bass,Morone saxatilis,dist-to-land,km,0,0,1,87,484,,Aquamaps HSPEN download Dec 2025
Sturgeon,Atlantic Sturgeon,Acipenser oxyrinchus,depth,m,1,1,5,24,46,,Aquamaps HSPEN download Dec 2025
Sturgeon,Atlantic Sturgeon,Acipenser oxyrinchus,temperature,degC,1,2.56,7.89,23.82,27.71,,Aquamaps HSPEN download Dec 2025
Sturgeon,Atlantic Sturgeon,Acipenser oxyrinchus,salinity,psu,1,18.97,22.78,35.94,36.53,,Aquamaps HSPEN download Dec 2025
Sturgeon,Atlantic Sturgeon,Acipenser oxyrinchus,PP,mgC·m-3·day-3,1,0.82,5.31,39.09,56.51,,Aquamaps HSPEN download Dec 2025
