"Species","SpecCode","StockCode","SynOC","StockDefs","StockDefsGeneral","Level","LocalUnique","IUCN_Code","IUCN_Assessment","IUCN_DateAssessed","Protected","StocksRefNo","CITES_Code","CITES_Date","CITES_Ref","CITES_Remarks","CMS","Northernmost","NorthSouthN","Southermost","NorthSouthS","Westernmost","WestEastW","Easternmost","WestEastE","BoundingRef","BoundingMethod","TempMin","TempMax","TempRef","TempPreferred","TempPref25","TempPref50","TempPref75","TempPrefRef","EnvTemp","Resilience","ResilienceRemark","pHMin","pHMax","pHRef","dHMin","dHMax","dHRef","GenBankID","RfeID","FIGIS_ID","EcotoxID","SCRFA_data","GMAD_ID","SAUP","SAUP_ID","SAUP_Group","AusMuseum","FishTrace","IUCN_ID","IUCN_IDAssess","BOLD_ID","IGFAName","EssayID","ICESStockID","OsteoBaseID","DORIS_ID","FishipediaID","SocotraAtlasID","AFORO_ID","MitoRef","FishSounds_ID","FishSounds","Aquamaps","Morphology","Occurrence","Strains","Ecology","Diseases","Abnorm","Metabolism","Predators","Spawning","Fecundity","Speed","Diet","Eggs","EggDevelop","Food","Larvae","LarvDyn","LarvSpeed","PopDyn","LengthWeight","Gillarea","Maturity","MatSizes","Processing","Reproduction","Introductions","Abundance","Vision","Genetics","Aquaculture","CountryComp","Allele","GeneticStudies","Ration","Foods","Ecotoxicology","Brains","Catches","FAOAqua","LengthRelations","LengthFrequency","Sounds","Broodstock","EggNursery","FryNursery","LarvalNursery","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS"
"Acipenser oxyrinchus",2593,2789,58742,"Western Atlantic:  Hamilton River, Labrador, Newfoundland, Canada to northeastern Florida, USA.  Occurs occasionally in Bermuda and French Guiana (Ref. 7251).  Northern Gulf of Mexico (Ref. 26938).  In Europe:  Baltic Sea.  Landlocked populations in Lakes Ladoga and Onega (Russia), both now extirpated.  Occasionally recorded from Great Britain and North Sea in Elbe drainage (Ref. 59043).  Recent  research revealed that this species existed in the Baltic Sea, but is now extirpated (Ref. 83384, 83385).  Near threatened globally, but extirpated in Europe (Ref. 59043).",NA,"species in general","Western Atlantic:  Hamilton River, Labrador, Newfo","VU","A2bc",2019-09-14,1,5723,"Appendix II",1998-04-01,128078,NA,NA,56,"N",10,"S",102,"W",33,"W",54265,"1",NA,NA,NA,NA,NA,NA,NA,NA,"subtropical","Very low","K=0.03; tm=7-34; tmax=60; Fec=1.03 million",NA,NA,NA,NA,NA,NA,40147,NA,10185,NA,0,NA,0,NA,1,NA,0,245,2785934,NA,NA,NA,NA,NA,NA,NA,NA,"genus=Acipenser&species=oxyrinchus",NA,NA,NA,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1991-05-02,2237,2023-11-23,1,1996-12-17,NA
"Acipenser oxyrinchus",2593,20730,NA,"Known as <i>Acipenser oxyrinchus desotoi</i>Vladykov, 1955 from the Western Central Atlantic:  Gulf of Mexico from Tampa Bay, Florida to Lake Pontchartrain, Louisiana, USA.",NA,"subspecies","Known as <i>Acipenser oxyrinchus desotoi</i>Vladyk","N.E.",NA,NA,1,5723,NA,NA,NA,NA,NA,32,"N",28,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"subtropical",NA,NA,NA,NA,NA,NA,NA,NA,40146,NA,NA,NA,0,NA,0,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,10,1997-03-18,2237,2023-08-23,NA,NA,NA
"Alosa aestivalis",1574,1767,2205,"Western Atlantic:  Cape Breton, Nova Scotia south to the St. John's River, Florida; also in lower parts of rivers (Ref. 188).  Introduced in reservoirs in several states, and in the upper Tennessee River system in Tennessee, USA (Ref. 117456, 86798).","Western Atlantic","species in general","Western Atlantic:  Cape Breton, Nova Scotia south ","VU","A2b",2011-10-13,0,188,NA,NA,NA,NA,NA,47,"N",27,"N",84,"W",60,"W",117456,"1",NA,NA,NA,12,11,14,18,107945,"subtropical","Medium","K=0.18; tm=4; Fec=45,800",NA,NA,NA,NA,NA,NA,NA,NA,NA,578,0,NA,1,601574,1,NA,0,201946,2730890,68561,NA,NA,NA,NA,NA,NA,NA,"genus=Alosa&species=aestivalis",NA,NA,NA,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,3,1990-10-18,10,2022-09-19,NA,NA,NA
"Alosa mediocris",1582,1775,2212,"Western Atlantic:  along the coast from Maine to the St. John's River, Florida, USA (Ref. 188).  Possibly in Campobello Island, New New Brunswick, Canada (Ref. 86798).","Western Atlantic","species in general","Western Atlantic:  along the coast from Maine to t","LC",NA,2011-10-14,0,188,NA,NA,NA,NA,NA,46,"N",25,"N",82,"w",66,"W",117467,"7",NA,NA,NA,18,14,18,21,107945,"temperate","Medium","K=0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,601582,1,NA,0,201947,2731015,NA,"Shad, hickory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,3,1990-10-18,949,2019-06-10,NA,NA,NA
"Alosa pseudoharengus",1583,1776,2214,"North America:  Atlantic coast from Red Bay, Labrador in Canada to South Carolina in USA; many landlocked populations exist.  Individuals with access to ocean are anadromous, ascending coastal rivers during spring spawning migraitons.  Native to Lake Ontario; introduced into other Great Lakes via Welland Canal (first taken in Lake Erie in 1931).  Introduced elsewhere, including New River in West Virginia and Virginia, and upper Tennessee River system in Tennessee, USA.","North America","species in general","North America:  Atlantic coast from Red Bay, Labra","LC",NA,2012-03-01,0,86798,NA,NA,NA,NA,NA,55,"N",34,"N",93,"W",53,"W",86798,"7",NA,NA,NA,8,6,8,11,107945,"temperate","Medium","K=0.2; tm=3.6; Fec=2,180",NA,NA,NA,NA,NA,NA,34774,NA,NA,260,0,NA,1,601583,1,NA,0,201948,18235694,50261,NA,NA,NA,NA,NA,NA,NA,"genus=Alosa&species=pseudoharengus",NA,"5c825d44-d215-4805-8904-15f3369538fd","s",1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,3,1990-10-18,949,2019-06-10,1,1996-11-05,NA
"Alosa sapidissima",1584,1777,2215,"North America:  Atlantic coast from Labrador, Canada to St. Johns River, Florida, USA; ascends coastal rivers during spring spawning migrations.  Introduced into Sacramento River, California in 1870s and has spread along Pacific Coast from Kamchatka, Russia to Todos Santos Bay, Mexico.  Landlocked in Millerton Lake, California, USA.","North America","species in general","North America:  Atlantic coast from Labrador, Cana","LC",NA,2018-08-22,0,86798,NA,NA,NA,NA,NA,54,"N",28,"N",84,"W",52,"W",86798,"1",NA,NA,NA,10,8,11,14,107945,"subtropical","Low","K=0.14; tm=4.7",NA,NA,NA,NA,NA,NA,34773,NA,NA,144,0,NA,1,601584,1,NA,0,191206,82664336,13393,"Shad, American",NA,NA,NA,NA,NA,NA,"genus=Alosa&species=sapidissima",NA,NA,NA,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,3,1990-10-18,10,2023-11-24,113,1995-12-07,NA
"Anchoa mitchilli",545,561,2298,"Western Atlantic:  Casco Bay, Maine south to Florida Keys and westward around the Gulf of Mexico south to Yucatán; not in the West Indies.","Western Atlantic","species in general","Western Atlantic: fr","LC",NA,2011-10-20,0,189,NA,NA,NA,NA,NA,42,"N",16,"N",99,"W",72,"W",189,"1",NA,NA,NA,23,20,23,25,107945,"subtropical","High","K>0.30; tmax=3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,600545,1,NA,0,190222,1944753,NA,NA,NA,NA,NA,NA,NA,NA,"genus=Anchoa&species=mitchilli",NA,NA,NA,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,1990-10-18,21,2016-06-13,NA,NA,NA
"Brevoortia tyrannus",1592,1785,2219,"Western Atlantic:  Nova Scotia, Canada southward to Indian River, Florida, USA.","Western Atlantic","species in general","Western Atlantic:  N","LC",NA,2015-07-07,0,188,NA,NA,NA,NA,NA,46,"N",30,"N",81,"W",64,"W",54290,"1",NA,26,38970,15,14,18,22,107945,"subtropical","Medium","K=0.4; tm=1-3; Fec=38,000",1,36,4639,NA,NA,NA,NA,NA,2094,423,0,NA,1,601592,1,NA,0,190134,16510462,NA,NA,NA,NA,NA,NA,NA,NA,"genus=Brevoortia&species=tyrannus",NA,"ab1dd08c-3491-4127-8e29-4596e1c37974","f",1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,3,1990-10-18,21,2016-06-13,NA,NA,NA
"Chasmodes bosquianus",3754,3950,114917,"Western Atlantic:  New York to eastern coast of Florida.","Western Atlantic","species in general","Western Atlantic: Ne","LC",NA,2007-10-18,0,43469,NA,NA,NA,NA,NA,41,"N",28,"N",82,"w",73,"w",NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,"subtropical","High","Preliminary K or Fecundity.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,1,NA,0,47140942,47461256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1991-05-02,949,2020-02-21,122,2002-09-19,NA
"Cynoscion nebulosus",405,419,64193,"Western Atlantic:  New York to southern Florida in USA and the entire Gulf of Mexico. Northeastern Atlantic: recently reported from Guadalquivir River estuary in Spain (Ref. 94474).",NA,"species in general","Western Atlantic:  New York to southern Florida in","LC",NA,2019-02-03,0,7251,NA,NA,NA,NA,NA,42,"N",15,"N",83,"W",70,"W",94474,"3",NA,NA,NA,23,20,23,26,107945,"subtropical","Medium","K=0.2-0.3; tmax=18; tm=1; Fec=1 million",NA,NA,NA,NA,NA,NA,13029,NA,NA,571,0,NA,1,600405,1,NA,0,193266,82666764,140790,"Seatrout, spotted",NA,NA,NA,NA,NA,NA,"genus=Cynoscion&species=nebulosus",NA,NA,NA,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,2,1990-10-18,97,2023-12-18,NA,NA,NA
