FG,common,scientific_name
Blue Catfish,Blue Catfish,Ictalurus furcatus
Striped Bass,Striped Bass,Morone saxatilis
Sturgeon,Atlantic Sturgeon,Acipenser oxyrinchus
Alosines,American Shad,Alosa sapidissima
Alosines,Alewife,Alosa pseudoharengus
Alosines,Hickory Shad,Alosa mediocris
Alosines,Blueback Herring,Alosa aestivalis
Blue Crab,Blue Crab,Callinectes sapidus
Sciaenids,Spot ,Leiostomus xanthurus
Sciaenids,Atlantic Croaker,Micropogonias undulatus
Sciaenids,Red Drum,Sciaenops ocellatus
Sciaenids,Black Drum,Pogonias cromis
Sciaenids,Spotted Seatrout,Cynoscion nebulosus
Menhaden,Atlantic Menhaden,Brevoortia tyrannus
Freshwater Demersal,Redear Sunfish,Lepomis microlophus
Freshwater Demersal,White Perch,Morone americana
Freshwater Demersal,Bluegill,Lepomis macrochirus
Freshwater Demersal,Pumpkinseed,Lepomis gibbosus
Freshwater Demersal,Gizzard Shad,Dorosoma cepedianum
Other Forage,Bay Anchovy,Anchoa mitchilli
Other Forage,Brief Squid,Lolliguncula brevis
Other Forage,Naked Goby,Gobiosoma bosc
Other Forage,Striped Blenny,Chasmodes bosquianus
Other Forage,Mummichog,Fundulus heteroclitus
Other Forage,Silverside Minnow,Menidia menidia
