"Species","SpecCode","AutoCtr","StockCode","E_CODE","PopGrowthRef","Sex","Data","DataSourceRef","Loo","Number","r2","SE_Loo","SD_Loo","LCL_Loo","UCL_Loo","AssumedDistLoo","TLinfinity","K","SE_K","SD_K","LCL_K","UCL_K","AssumedDistK","to","SE_to","SD_to","LCL_to","UCL_to","Type","MethodGrowth","Winfinity","LinfLmax","Auxim","LogKLogLoo","SourceWinfinity","b","C","tmax","tmaxRef","tm","M","MethodM","Mquality","MRef","Number_M","r2_M","SE_M","SD_M","LCL_M","UCL_M","AssumedDistM","Lm","LmLoo","LmSex","TypeLm","unsexedRef","LmMale","LmLooMale","LmFemale","LmLooFemale","Locality","YearStart","YearEnd","YearRemark","C_Code","GrowthEnviron","Temperature","DeltaT","TempRef","Rm","Comment","Comment2","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS"
"Acipenser oxyrinchus",2593,5570,2789,NA,39264,"female","other annual rings",NA,256,NA,NA,NA,NA,NA,NA,NA,256,0.07,NA,NA,NA,NA,NA,-3.2,NA,NA,NA,NA,"TL","other method(s)/n.a.",139354.45312,0,"unchecked",NA,"computed from TL Loo using Bayesian LWR",NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hudson River, New York",1992,1995,"sampling year","840","open waters",NA,NA,NA,NA,NA,NA,3,2001-08-17,65,2020-06-11,NA,NA,NA
"Acipenser oxyrinchus",2593,5579,2789,NA,39264,"mixed",NA,38754,184,NA,NA,NA,NA,NA,NA,NA,184,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",NA,48918.44531,-1,"doubtful",NA,"computed from TL Loo using Bayesian LWR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suwannee River, Florida",1985,NA,"publication year","840","open waters",NA,NA,NA,NA,"FL converted to TL (TL=1.1*FL in Ref. 39585).",NA,3,2001-08-17,65,2020-06-11,NA,NA,NA
"Acipenser oxyrinchus",2593,5574,2789,NA,39264,"mixed",NA,38754,236,NA,NA,NA,NA,NA,NA,NA,236,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",NA,107679.05469,0,"unchecked",NA,"computed from TL Loo using Bayesian LWR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kennebec, Maine",1985,NA,"publication year","840","open waters",NA,NA,NA,NA,"FL converted to TL (TL=1.1*FL in Ref. 39585).",NA,3,2001-08-17,65,2020-06-11,NA,NA,NA
"Acipenser oxyrinchus",2593,5578,2789,NA,39264,"mixed",NA,38754,242,NA,NA,NA,NA,NA,NA,NA,242,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",NA,116599.01562,0,"doubtful",NA,"computed from TL Loo using Bayesian LWR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Winyah Bay, South Carolina",1985,NA,"publication year","840","open waters",NA,NA,NA,NA,"FL converted to TL (TL=1.1*FL in Ref. 39585).",NA,3,2001-08-17,65,2020-06-11,NA,NA,NA
"Acipenser oxyrinchus",2593,5573,2789,NA,39264,"mixed","other annual rings",39404,315,NA,NA,NA,NA,NA,NA,NA,315,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",NA,268933.34375,0,"unchecked",NA,"computed from TL Loo using Bayesian LWR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"St. Lawrence River",1964,NA,"publication year","124Q","open waters",NA,NA,NA,NA,NA,NA,3,2001-08-17,65,2020-06-11,NA,NA,NA
"Acipenser oxyrinchus",2593,10097,2789,233,83389,"female","other annual rings",NA,199,NA,NA,NA,NA,NA,NA,NA,226.33,0.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FL","non-linear regression",92157.92969,-1,"doubtful",NA,"computed from TLinfinity using Bayesian LWR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"off central New Jersey coast",1992,1994,"sampling year","840","open waters",NA,NA,NA,NA,"Age readings from fin ray sections.",NA,3,2010-01-14,65,2021-06-22,NA,NA,NA
"Acipenser oxyrinchus",2593,10096,2789,233,83389,"male","other annual rings",NA,180,NA,NA,NA,NA,NA,NA,NA,204.72,0.147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FL","non-linear regression",67046.82812,-1,"doubtful",NA,"computed from TLinfinity using Bayesian LWR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"off central New Jersey coast",1992,1994,"sampling year","840","open waters",NA,NA,NA,NA,"Age readings from fin ray sections.",NA,3,2010-01-14,65,2021-06-22,NA,NA,NA
"Acipenser oxyrinchus",2593,23790,20730,NA,118920,"unsexed","tagging/recapture",NA,209.8,NA,NA,NA,NA,183.89999,260.39999,NA,238.61,0.123,NA,NA,0.08,0.17,NA,-0.52,NA,NA,-1.243,0.014,"FL","non-linear regression",108961.52344,-1,"unchecked",NA,"computed from TLinfinity using Bayesian LWR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pearl and Pascagoula rivers",1997,2016,"sampling year","840","open waters",NA,NA,NA,NA,NA,NA,2448,2018-11-05,65,2021-06-22,NA,NA,NA
"Alosa mediocris",1582,8077,1775,NA,3672,"unsexed",NA,NA,61,NA,NA,NA,NA,NA,NA,NA,61,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",NA,2087.12964,0,"unchecked",NA,"computed from TL Loo using Bayesian LWR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eastern region",NA,NA,NA,"840","open waters",NA,NA,NA,NA,"Linf was set = to Lmax recorded for the study area.",NA,3,2004-12-12,65,2020-06-11,NA,NA,NA
"Alosa pseudoharengus",1583,3017,1776,151,2939,"female",NA,4586,20.4,NA,NA,NA,NA,NA,NA,NA,20.4,0.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL","other method(s)/n.a.",57,0,"unchecked",-0.25607,"using LWR of species",3.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lake Michigan",1986,NA,"publication year","840","open waters",20,NA,4586,NA,NA,NA,3,1994-07-03,3,2013-02-13,NA,NA,NA
