"Species","SpecCode","autoctr","StockCode","OxygenRefNo","TestCode","FamilyOxRef","SpeciesOxRef","Weight","Number","Sex","Temp","Salinity","Oxygen","Oxygenmgl","OxygenCons","MetabolicLevel","AppliedStress","DataRef","SwimmingSpeed","Comment","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS"
"Brevoortia tyrannus",1592,3779,1785,2120,"155.007","Clupeidae","Brevoortia tyrannus",5.44,440,"unsexed",20,36,NA,NA,471,"routine","none specified",2439,NA,NA,20,1991-12-19,NA,1994-10-20,NA,NA,NA
"Brevoortia tyrannus",1592,3780,1785,2120,"155.004","Clupeidae","Brevoortia tyrannus",6.17,422,"unsexed",15,29,NA,NA,294,"routine","none specified",2439,NA,NA,20,1991-12-19,NA,1994-10-20,NA,NA,NA
"Brevoortia tyrannus",1592,3781,1785,2120,"155.001","Clupeidae","Brevoortia tyrannus",6.2,409,"unsexed",10,33,NA,NA,177,"routine","none specified",2439,NA,NA,20,1991-12-19,NA,1994-10-20,NA,NA,NA
"Brevoortia tyrannus",1592,3782,1785,2120,"155.01","Clupeidae","Brevoortia tyrannus",6.98,374,"unsexed",25,30,NA,NA,476,"routine","none specified",2439,NA,NA,20,1991-12-19,NA,1994-10-20,NA,NA,NA
"Brevoortia tyrannus",1592,3783,1785,2120,"155.005","Clupeidae","Brevoortia tyrannus",21.7,105,"unsexed",15,30,NA,NA,198,"routine","none specified",2439,NA,NA,20,1991-12-19,NA,1994-10-20,NA,NA,NA
"Brevoortia tyrannus",1592,3784,1785,2120,"155.008","Clupeidae","Brevoortia tyrannus",22.2,107,"unsexed",20,36,NA,NA,284,"routine","none specified",2439,NA,NA,20,1991-12-19,NA,1994-10-20,NA,NA,NA
"Brevoortia tyrannus",1592,3785,1785,2120,"155.002","Clupeidae","Brevoortia tyrannus",22.5,100,"unsexed",10,32,NA,NA,118,"routine","none specified",2439,NA,NA,20,1991-12-19,NA,1994-10-20,NA,NA,NA
"Brevoortia tyrannus",1592,3786,1785,2120,"155.011","Clupeidae","Brevoortia tyrannus",24.6,89,"unsexed",25,30,NA,NA,343,"routine","none specified",2439,NA,NA,20,1991-12-19,NA,1994-10-20,NA,NA,NA
"Brevoortia tyrannus",1592,3787,1785,2120,"155.019","Clupeidae","Brevoortia tyrannus",27,50,"unsexed",9,30,NA,NA,120,"routine","none specified",2439,NA,NA,20,1991-12-19,NA,1994-10-20,NA,NA,NA
"Brevoortia tyrannus",1592,3788,1785,2120,"155.016","Clupeidae","Brevoortia tyrannus",27,50,"unsexed",9,5,NA,NA,140,"routine","none specified",2439,NA,NA,20,1991-12-19,NA,1994-10-20,NA,NA,NA
"Brevoortia tyrannus",1592,3789,1785,2120,"155.02","Clupeidae","Brevoortia tyrannus",27,50,"unsexed",17,29,NA,NA,220,"routine","none specified",2439,NA,NA,20,1991-12-19,NA,1994-10-20,NA,NA,NA
"Brevoortia tyrannus",1592,3790,1785,2120,"155.017","Clupeidae","Brevoortia tyrannus",27,50,"unsexed",17,5,NA,NA,280,"routine","none specified",2439,NA,NA,20,1991-12-19,NA,1994-10-20,NA,NA,NA
"Brevoortia tyrannus",1592,3791,1785,2120,"155.021","Clupeidae","Brevoortia tyrannus",27,50,"unsexed",25,29,NA,NA,290,"routine","none specified",2439,NA,NA,20,1991-12-19,NA,1994-10-20,NA,NA,NA
"Brevoortia tyrannus",1592,3792,1785,2120,"155.018","Clupeidae","Brevoortia tyrannus",27,50,"unsexed",25,5,NA,NA,380,"routine","none specified",2439,NA,NA,20,1991-12-19,NA,1994-10-20,NA,NA,NA
"Brevoortia tyrannus",1592,3793,1785,2120,"155.013","Clupeidae","Brevoortia tyrannus",51,298,"unsexed",14,33,NA,NA,780,"active","none specified",2439,1.1,NA,20,1991-12-19,NA,1994-10-20,NA,NA,NA
"Brevoortia tyrannus",1592,3794,1785,2120,"155.014","Clupeidae","Brevoortia tyrannus",51,298,"unsexed",19,33,NA,NA,1000,"active","none specified",2439,1.7,NA,20,1991-12-19,NA,1994-10-20,NA,NA,NA
"Brevoortia tyrannus",1592,3795,1785,2120,"155.015","Clupeidae","Brevoortia tyrannus",51,298,"unsexed",24,33,NA,NA,1520,"active","none specified",2439,2.7,NA,20,1991-12-19,NA,1994-10-20,NA,NA,NA
"Brevoortia tyrannus",1592,3796,1785,2120,"155.009","Clupeidae","Brevoortia tyrannus",74.3,35,"unsexed",20,36,NA,NA,230,"routine","none specified",2439,NA,NA,20,1991-12-19,NA,1994-10-20,NA,NA,NA
"Brevoortia tyrannus",1592,3797,1785,2120,"155.003","Clupeidae","Brevoortia tyrannus",78.4,31,"unsexed",10,32,NA,NA,102,"routine","none specified",2439,NA,NA,20,1991-12-19,NA,1994-10-20,NA,NA,NA
"Brevoortia tyrannus",1592,3798,1785,2120,"155.006","Clupeidae","Brevoortia tyrannus",79.3,31,"unsexed",15,31,NA,NA,175,"routine","none specified",2439,NA,NA,20,1991-12-19,NA,1994-10-20,NA,NA,NA
"Brevoortia tyrannus",1592,3799,1785,2120,"155.012","Clupeidae","Brevoortia tyrannus",80.9,21,"unsexed",25,29,NA,NA,304,"routine","none specified",2439,NA,NA,20,1991-12-19,NA,1994-10-20,NA,NA,NA
"Dorosoma cepedianum",1604,3800,1797,2120,"148.029","Clupeidae","Dorosoma cepedianum",0.7,1,"fry",16.8,0,NA,NA,8452.2998,"routine","none specified",2571,NA,NA,20,1991-12-19,NA,1994-10-20,NA,NA,NA
"Dorosoma cepedianum",1604,3801,1797,2120,"148.01","Clupeidae","Dorosoma cepedianum",1.7,1,"fry",12.4,0,NA,NA,1331.59998,"routine","none specified",2571,NA,NA,20,1991-12-19,NA,1994-10-20,NA,NA,NA
"Dorosoma cepedianum",1604,3802,1797,2120,"148.016","Clupeidae","Dorosoma cepedianum",1.7,1,"fry",13.4,0,NA,NA,1848,"routine","none specified",2571,NA,NA,20,1991-12-19,NA,1994-10-20,NA,NA,NA
"Dorosoma cepedianum",1604,3803,1797,2120,"148.034","Clupeidae","Dorosoma cepedianum",3.1,1,"juveniles",18.8,0,NA,NA,1744.59998,"routine","none specified",2571,NA,NA,20,1991-12-19,NA,1994-10-20,NA,NA,NA
"Dorosoma cepedianum",1604,3804,1797,2120,"148.035","Clupeidae","Dorosoma cepedianum",3.3,1,"juveniles",19.3,0,NA,NA,1803.69995,"routine","none specified",2571,NA,NA,20,1991-12-19,NA,1994-10-20,NA,NA,NA
"Dorosoma cepedianum",1604,3805,1797,2120,"148.021","Clupeidae","Dorosoma cepedianum",3.9,1,"juveniles",14.4,0,NA,NA,1033.09998,"routine","none specified",2571,NA,NA,20,1991-12-19,NA,1994-10-20,NA,NA,NA
