"FG","common","scientific_name","FBname","BodyShapeI","DepthRangeShallow","DepthRangeDeep","DepthRangeComShallow","DepthRangeComDeep","LongevityWild","LongevityCaptive","Vulnerability","VulnerabilityClimate","Length","CommonLength","Weight","n_growth_studies","K_avg","Loo_avg","ReproMode","Spawning","RepGuild1","RepGuild2","AddInfos","DietTroph","DietSeTroph","DietRemark","AddRems"
"Blue Catfish","Blue Catfish","Ictalurus furcatus","Blue catfish","fusiform / normal",NA,50,NA,NA,21,4.5,70.28,NA,165,NA,68000,10,0.072384,115.567999,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Striped Bass","Striped Bass","Morone saxatilis","Striped bass","fusiform / normal",30,NA,NA,NA,30,19,60.64,60.96,200,120,57000,10,0.1888,103.27,"dioecism","one clear seasonal peak per year","nonguarders","open water/substratum egg scatterers","Move into fresh or brackish water to spawn (Ref. 39467). Females spawn more than once in a season, but they don't necessarily spawn every year (Ref. 1998).",4.65,0.248,"Troph of adults from 4 studies.","Inhabits coastal waters and are commonly found in bays but may enter rivers in the spring to spawn (Ref. 2850).  Coastal schooling species and anadromous (Ref. 5951); some populations are landlocked (Ref. 7251).  Larvae feed on zooplankton; juveniles take in small shrimps and other crustaceans, annelid worms, and insects; adults feed on a wide variety of fishes and invertebrates, mainly crustaceans (Ref. 1998).  Feeding ceases shortly before spawning (Ref. 1998).  Juveniles are preyed upon by Atlantic tomcod, Atlantic cod, silver hake and larger striped bass."
"Sturgeon","Atlantic Sturgeon","Acipenser oxyrinchus","Atlantic sturgeon","elongated",1,46,NA,NA,60,5,85.21,NA,403,NA,NA,8,0.1015,227.725,"dioecism",NA,"nonguarders","open water/substratum egg scatterers","Matures at increasing ages with increasing latitude (Ref. 88171). Both sexes do not spawn yearly and spawning intervals may vary according to area. In the St. Lawrence River, males spawn every 1-5 years, females every 3-5 years (Ref. 89103). Adults from the sea begin to ascend the lower reaches of large rivers in spring with the majority ascending immediately prior to spawning. Spawning occurs between March and August (Ref. 59043), when water temperature is 13.3-17.8 °C (Ref. 89118). Spawning occurs over bedrock, boulders or gravel bottoms, in depths exceeding 10 m at current velocities of 0.5-0.8 m/s (Ref. 59043, 89103). Exact time of spawning depends on temperature (Ref. 26938). Per female 0.4-8 million eggs may be spawned (Ref. 45706, 84845, 89137). Eggs demersal, sticking to stones, measuring 2.55 mm in diameter and hatching in 1 week at 17.8 °C (Ref. 4639, 9980). Adults return to the sea after spawning (Ref. 59043). Sturgeons in general have a high capacity for hybridization and most species are able to cross-breed (Ref. 89103, 89117). ",NA,NA,NA,"Feeds on bottom plants, insect larvae, small crustaceans and molluscs when in fresh water, while molluscs, annelid worms, crustaceans and small fishes such as sand lance are consumed in the sea (Ref. 59043)."
"Sturgeon","Atlantic Sturgeon","Acipenser oxyrinchus","Atlantic sturgeon","elongated",1,46,NA,NA,60,5,85.21,NA,403,NA,NA,8,0.1015,227.725,"dioecism",NA,"nonguarders","open water/substratum egg scatterers","Matures at increasing ages with increasing latitude (Ref. 88171). Both sexes do not spawn yearly and spawning intervals may vary according to area. In the St. Lawrence River, males spawn every 1-5 years, females every 3-5 years (Ref. 89103). Adults from the sea begin to ascend the lower reaches of large rivers in spring with the majority ascending immediately prior to spawning. Spawning occurs between March and August (Ref. 59043), when water temperature is 13.3-17.8 °C (Ref. 89118). Spawning occurs over bedrock, boulders or gravel bottoms, in depths exceeding 10 m at current velocities of 0.5-0.8 m/s (Ref. 59043, 89103). Exact time of spawning depends on temperature (Ref. 26938). Per female 0.4-8 million eggs may be spawned (Ref. 45706, 84845, 89137). Eggs demersal, sticking to stones, measuring 2.55 mm in diameter and hatching in 1 week at 17.8 °C (Ref. 4639, 9980). Adults return to the sea after spawning (Ref. 59043). Sturgeons in general have a high capacity for hybridization and most species are able to cross-breed (Ref. 89103, 89117). ",NA,NA,NA,NA
"Alosines","American Shad","Alosa sapidissima","American shad","fusiform / normal",0,250,NA,NA,13,NA,50.28,43.55,76,50,5500,3,0.383333333333333,56.0666666666667,"dioecism","one clear seasonal peak per year","nonguarders","open water/substratum egg scatterers","Some shad spawn immediately on entering fresh water while others may undertake fairly long journeys, as much as 630 km upstream, to their favored spawning grounds (Ref. 4607). Enters rivers as early as November (Florida) and as late as May or June in the north, depending on water temperature (peak runs at about 18.5 °C). Spawning occurs at sundown and continues until after midnight. The fish pair and swim close together, releasing eggs and milt (Ref. 27547). Adults descend shortly after spawning, the young in the autumn.
Spawning reported from 8-26°C, generally occurs at 12-21°C (Ref. 38954).",3.48,0.32,"Troph of juv./adults from 1 study.","Anadromous (Ref. 5951).  Strongly migratory (tagged individuals caught as far as 3000 km from point of release); in rivers, moves up as far as Montreal, but usually not ascending as far upstream as <i>A. pseudoharengus</i>.  Feeds on copepods, other crustacean zooplankters, aquatic insect larvae, especially chironomid larvae (important for young shad in fresh water); ostracods, amphipods, isopods, insects and small fishes in the Bay of Fundy (Ref. 5951).  No feeding during migration up rivers.  Parasites found are nematodes, distomes (trematodes) and acanthocephalans (Ref. 5951)."
"Alosines","Alewife","Alosa pseudoharengus","Alewife","fusiform / normal",5,145,56,110,9,NA,29.18,67.41,40,30,200,6,0.534666666666667,19.2,"dioecism","one clear seasonal peak per year","nonguarders","open water/substratum egg scatterers","Adults migrate up rivers and even small streams, spawn in lakes and quiet stretches of rivers; landlocked populations also ascend affluent rivers and streams; the fry descend in summer and autumn or even as late as November or December. Spawning activity has been observed both diurnally and nocturnally, but with greatest activity at night (Ref. 38797). Spawning activity stops above 27.8°C (Ref. 38881).
Freshwater populations mature earlier and at a smaller average size than saltwater populations (Ref. 4639).",3.39,0.322,"Troph of adults from 2 studies.","Euryhaline, entering brackish- and freshwaters, anadromous (Ref. 10294).  Movement of schooling adults apparently restricted to coastal areas proximal to natal estuaries (Ref. 4639).  They migrate up rivers and even small streams to spawn in lakes and quiet stretches of rivers, then return to sea shortly after spawning (Ref. 4639); landlocked populations also ascend affluent rivers and streams.  Larvae remain in vicinity of spawning grounds, forming schools at sizes less than 10 mm TL, within one to two weeks after hatching (Ref. 4639), then descend in summer and autumn or even as late as November or December.  Feed on shrimps and small fishes; the young on diatoms, copepods and ostracods while in rivers.  Feed on planktonic and benthic invertebrates (Ref. 13515).  Fish measuring 5.0-7.0 cm TL feed by gulping, filtering and particulate feeding, whereas smaller fish are exclusive particulate feeders (Ref. 46977).  Preyed upon by walleye, smallmouth bass, crappie, rainbow trout and ohrid trout (Ref. 10294)."
"Alosines","Hickory Shad","Alosa mediocris","Hickory shad","fusiform / normal",NA,NA,NA,NA,NA,NA,41.1,54.55,60,34,NA,1,0.3,61,"dioecism",NA,"nonguarders","open water/substratum egg scatterers","      ",NA,NA,NA,"Euryhaline, entering brackish- and freshwater, anadromous. Feeds on fish, cephalopods, benthic invertebrates and zooplankton (Ref. 188)."
"Alosines","Blueback Herring","Alosa aestivalis","Blueback shad","fusiform / normal",5,55,NA,NA,8,NA,38.8,50.39,40,27.5,200,NA,NA,NA,"dioecism",NA,"nonguarders","open water/substratum egg scatterers","Upriver movement to spawning areas occur in late afternoon or at night (Ref. 4639).",3.81,0.26,"Troph of juv./adults from 1 study.","Euryhaline, anadromous, possibly wintering near the bottom and out from the coast, approaching the shore in late spring. Feeds opportunistically on fauna other than zooplankton (Ref. 5722).  Parasite of the species is known to be <i>Echinorhynchus acus</i> (acanthocephalan) (Ref. 5951)."
"Blue Crab","Blue Crab","Callinectes sapidus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sciaenids","Spot ","Leiostomus xanthurus","Spot croaker","fusiform / normal",NA,60,NA,NA,4,NA,29.15,47.22,36,25,450,3,0.681666666666667,27.3333333333333,NA,NA,NA,NA,NA,3.23,0.073,"Troph of juv./adults from 2 studies.","         "
