"row","col","depth_sug","water_frac","serves","depth"
72,15,5.95,0.383,"37;39",1
27,12,4.27,0.382,"8",1
28,11,4.01,0.437,"8;11",1
29,10,2.83,0.323,"8;10;11",1
30,7,1.65,0.478,"8;10;11;13",1
37,41,0.02,0.174,"21",1
37,43,0.02,0.046,"21;23",1
17,28,3.13,0.193,"6",1
62,15,2.55,0.128,"33",1
69,5,2.2,0.386,"37",1
21,27,3.5,0.172,"7",1
28,43,2.01,0.076,"9",1
28,45,2.53,0.073,"9;12",1
33,50,0.93,0.075,"17",1
34,49,2.37,0.132,"17;18",1
45,12,3.19,0.17,"27",1
46,12,1.92,0.393,"27",1
46,13,2.45,0.365,"27",1
47,14,3.71,0.086,"27;28",1
49,54,0.94,0.097,"30;31",1
84,28,1.08,0.106,"40;41",1
84,26,1.36,0.073,"41",1
44,10,2.02,0.308,"26",1
45,10,1.52,0.22,"26",1
5,45,2.42,0.112,"3",1
