"patch","n_cells","rows","cols","lon","lat","mean_wfrac","path_cost","hi_res_linked","action","n_bridge_cells"
39,12,"70;70;70;70;70;70;71;71;71;71;72;72","5;6;7;8;9;10;10;11;12;13;13;14",-77.1124,37.2828,0.376,1.62,TRUE,"connect",1
3,5,"3;3;4;4;4","46;47;45;46;47",-75.9031,39.5055,0.387,1.86,TRUE,"connect",1
8,5,"22;23;24;25;26","12;12;12;12;12",-77.0404,38.8294,0.408,6.39,TRUE,"connect",4
13,3,"29;30;30","9;8;9",-77.1512,38.6416,0.556,1.52,TRUE,"connect",1
21,3,"36;36;37","40;41;40",-76.0982,38.4207,0.483,3.78,FALSE,"connect",2
2,2,"1;2","56;56",-75.5772,39.5751,0.686,19.06,FALSE,"remove (other waterbody)",0
4,2,"4;5","56;56",-75.5772,39.4757,0.553,17.78,FALSE,"remove (other waterbody)",0
6,2,"17;17","26;27",-76.5582,39.0614,0.254,1.81,FALSE,"connect",1
33,2,"62;62","13;14",-76.9905,37.57,0.389,1.87,FALSE,"connect",1
37,2,"68;68","4;5",-77.2898,37.3711,0.233,3.24,FALSE,"connect",2
7,1,"20","27",-76.5416,38.962,0.195,1.83,FALSE,"connect",1
9,1,"27","43",-76.0095,38.73,0.309,3.85,FALSE,"connect",2
10,1,"28","10",-77.1069,38.6969,0.447,3.2,TRUE,"connect",2
11,1,"28","12",-77.0404,38.6969,0.307,4.77,FALSE,"connect",3
12,1,"28","44",-75.9762,38.6969,0.322,1.93,TRUE,"connect",1
17,1,"33","51",-75.7435,38.5311,0.32,3.8,FALSE,"connect",2
18,1,"34","50",-75.7767,38.498,0.202,1.87,FALSE,"connect",1
23,1,"37","42",-76.0428,38.3986,0.304,1.96,FALSE,"connect",1
26,1,"44","9",-77.1401,38.1666,0.231,10,FALSE,"connect",5
27,1,"45","11",-77.0736,38.1334,0.339,6.99,FALSE,"connect",4
28,1,"46","14",-76.9739,38.1003,0.207,1.92,FALSE,"connect",1
30,1,"48","54",-75.6437,38.034,0.26,1.9,FALSE,"connect",1
31,1,"49","55",-75.6105,38.0009,0.136,1.9,FALSE,"connect",1
40,1,"84","27",-76.5416,36.8409,0.342,1.9,TRUE,"connect",1
41,1,"85","26",-76.5748,36.8077,0.04,3.82,FALSE,"connect",2
