"row","col","lon","lat","depth_bm"
57,56,-75.5772,37.7357,0.35
58,56,-75.5772,37.7026,0.63
59,55,-75.6105,37.6694,0.73
59,56,-75.5772,37.6694,0.74
60,54,-75.6437,37.6363,0.95
60,55,-75.6105,37.6363,0.6
60,56,-75.5772,37.6363,4.18
61,53,-75.677,37.6031,0.07
61,54,-75.6437,37.6031,0.94
61,55,-75.6105,37.6031,1.61
61,56,-75.5772,37.6031,4.94
62,53,-75.677,37.57,0.15
62,54,-75.6437,37.57,0.17
62,55,-75.6105,37.57,1.31
62,56,-75.5772,37.57,4.22
63,52,-75.7102,37.5369,0.08
63,53,-75.677,37.5369,0.13
63,54,-75.6437,37.5369,0.57
63,55,-75.6105,37.5369,4.23
63,56,-75.5772,37.5369,9.04
64,51,-75.7435,37.5037,0.04
64,52,-75.7102,37.5037,0.63
64,53,-75.677,37.5037,0.29
64,54,-75.6437,37.5037,2.7
64,55,-75.6105,37.5037,8.25
64,56,-75.5772,37.5037,11.28
65,49,-75.81,37.4706,0.06
65,50,-75.7767,37.4706,0.1
65,51,-75.7435,37.4706,0.1
65,52,-75.7102,37.4706,0.11
65,53,-75.677,37.4706,2.08
65,54,-75.6437,37.4706,3.59
65,55,-75.6105,37.4706,9.41
65,56,-75.5772,37.4706,12.32
66,49,-75.81,37.4374,0.05
66,50,-75.7767,37.4374,0.1
66,51,-75.7435,37.4374,0.12
66,52,-75.7102,37.4374,0.77
66,53,-75.677,37.4374,1.6
66,54,-75.6437,37.4374,4.61
66,55,-75.6105,37.4374,11.49
66,56,-75.5772,37.4374,13.57
67,49,-75.81,37.4043,0.08
67,50,-75.7767,37.4043,0.1
67,51,-75.7435,37.4043,0.25
67,52,-75.7102,37.4043,1.22
67,53,-75.677,37.4043,3.25
67,54,-75.6437,37.4043,7.14
67,55,-75.6105,37.4043,12.35
67,56,-75.5772,37.4043,14.22
68,48,-75.8432,37.3711,0.07
68,49,-75.81,37.3711,0.08
68,50,-75.7767,37.3711,0.06
68,51,-75.7435,37.3711,1.06
68,52,-75.7102,37.3711,1.47
68,53,-75.677,37.3711,5.36
68,54,-75.6437,37.3711,9.92
68,55,-75.6105,37.3711,12.73
68,56,-75.5772,37.3711,12.9
69,47,-75.8765,37.338,0.08
69,48,-75.8432,37.338,0.06
69,49,-75.81,37.338,0.22
69,50,-75.7767,37.338,0.33
69,51,-75.7435,37.338,1.71
69,52,-75.7102,37.338,4.32
69,53,-75.677,37.338,5.6
69,54,-75.6437,37.338,11.18
69,55,-75.6105,37.338,13.87
69,56,-75.5772,37.338,14.96
70,47,-75.8765,37.3049,0.09
70,48,-75.8432,37.3049,0.46
70,49,-75.81,37.3049,1.85
70,50,-75.7767,37.3049,1.33
70,51,-75.7435,37.3049,2.83
70,52,-75.7102,37.3049,5.35
70,53,-75.677,37.3049,8.32
70,54,-75.6437,37.3049,13.85
70,55,-75.6105,37.3049,15.84
70,56,-75.5772,37.3049,15.57
71,46,-75.9097,37.2717,0.23
71,48,-75.8432,37.2717,0.34
71,49,-75.81,37.2717,1.75
71,50,-75.7767,37.2717,4.97
71,51,-75.7435,37.2717,5.13
71,52,-75.7102,37.2717,7.95
71,53,-75.677,37.2717,11.29
71,54,-75.6437,37.2717,15.87
71,55,-75.6105,37.2717,16.93
71,56,-75.5772,37.2717,18.33
72,46,-75.9097,37.2386,0.06
72,48,-75.8432,37.2386,0.64
72,49,-75.81,37.2386,0.87
72,50,-75.7767,37.2386,3.26
72,51,-75.7435,37.2386,5.34
72,52,-75.7102,37.2386,9.62
72,53,-75.677,37.2386,11.88
72,54,-75.6437,37.2386,15.04
72,55,-75.6105,37.2386,19.21
72,56,-75.5772,37.2386,20.71
73,46,-75.9097,37.2054,0.02
73,47,-75.8765,37.2054,0.23
73,48,-75.8432,37.2054,1.14
73,49,-75.81,37.2054,0.74
73,50,-75.7767,37.2054,4.59
73,51,-75.7435,37.2054,7.59
73,52,-75.7102,37.2054,11.25
73,53,-75.677,37.2054,13.38
73,54,-75.6437,37.2054,14.86
73,55,-75.6105,37.2054,18.19
73,56,-75.5772,37.2054,20.07
74,46,-75.9097,37.1723,0.14
74,47,-75.8765,37.1723,0.01
74,48,-75.8432,37.1723,0.18
74,49,-75.81,37.1723,3.41
74,50,-75.7767,37.1723,6.55
74,51,-75.7435,37.1723,9.8
74,52,-75.7102,37.1723,12.68
74,53,-75.677,37.1723,14.88
74,54,-75.6437,37.1723,15.63
74,55,-75.6105,37.1723,17.82
74,56,-75.5772,37.1723,18.12
75,44,-75.9762,37.1391,7.87
75,45,-75.943,37.1391,0.05
75,46,-75.9097,37.1391,0.82
75,47,-75.8765,37.1391,0.51
75,48,-75.8432,37.1391,3.34
75,49,-75.81,37.1391,6.34
75,50,-75.7767,37.1391,8.65
75,51,-75.7435,37.1391,11.68
75,52,-75.7102,37.1391,14.05
75,53,-75.677,37.1391,14.88
75,54,-75.6437,37.1391,15.07
75,55,-75.6105,37.1391,17.15
75,56,-75.5772,37.1391,19.76
76,44,-75.9762,37.106,4.5
76,45,-75.943,37.106,0.65
76,46,-75.9097,37.106,1.49
76,47,-75.8765,37.106,4.37
76,48,-75.8432,37.106,6.6
76,49,-75.81,37.106,8.27
76,50,-75.7767,37.106,10.27
76,51,-75.7435,37.106,12.48
76,52,-75.7102,37.106,13.7
76,53,-75.677,37.106,16.73
76,54,-75.6437,37.106,18.02
76,55,-75.6105,37.106,19.78
76,56,-75.5772,37.106,19.73
77,44,-75.9762,37.0729,7.89
77,45,-75.943,37.0729,4.5
77,46,-75.9097,37.0729,6.17
77,47,-75.8765,37.0729,6.2
77,48,-75.8432,37.0729,8.32
77,49,-75.81,37.0729,9.44
77,50,-75.7767,37.0729,11.12
77,51,-75.7435,37.0729,13.51
77,52,-75.7102,37.0729,15.57
77,53,-75.677,37.0729,16.25
77,54,-75.6437,37.0729,16.5
77,55,-75.6105,37.0729,19.22
77,56,-75.5772,37.0729,21.95
78,44,-75.9762,37.0397,9.2
78,45,-75.943,37.0397,7.51
78,46,-75.9097,37.0397,5.78
78,47,-75.8765,37.0397,8.12
78,48,-75.8432,37.0397,9.44
78,49,-75.81,37.0397,10.89
78,50,-75.7767,37.0397,12.37
78,51,-75.7435,37.0397,14.02
78,52,-75.7102,37.0397,16.21
78,53,-75.677,37.0397,17.99
78,54,-75.6437,37.0397,18.93
78,55,-75.6105,37.0397,20.97
78,56,-75.5772,37.0397,22.15
79,44,-75.9762,37.0066,6.86
79,45,-75.943,37.0066,8.09
79,46,-75.9097,37.0066,8.36
79,47,-75.8765,37.0066,9.91
79,48,-75.8432,37.0066,11.31
79,49,-75.81,37.0066,13.23
79,50,-75.7767,37.0066,14.44
79,51,-75.7435,37.0066,15.05
79,52,-75.7102,37.0066,16.31
79,53,-75.677,37.0066,19.3
79,54,-75.6437,37.0066,22
79,55,-75.6105,37.0066,22.09
79,56,-75.5772,37.0066,23.26
80,44,-75.9762,36.9734,11.22
80,45,-75.943,36.9734,10.12
80,46,-75.9097,36.9734,9.61
80,47,-75.8765,36.9734,9.76
80,48,-75.8432,36.9734,11.93
80,49,-75.81,36.9734,13.95
80,50,-75.7767,36.9734,15.55
80,51,-75.7435,36.9734,16.47
80,52,-75.7102,36.9734,17.35
80,53,-75.677,36.9734,19.3
80,54,-75.6437,36.9734,20.93
80,55,-75.6105,36.9734,22
80,56,-75.5772,36.9734,22.81
81,44,-75.9762,36.9403,21.97
81,45,-75.943,36.9403,16.68
81,46,-75.9097,36.9403,11.42
81,47,-75.8765,36.9403,11.27
81,48,-75.8432,36.9403,12.03
81,49,-75.81,36.9403,12.56
81,50,-75.7767,36.9403,14.37
81,51,-75.7435,36.9403,16.19
81,52,-75.7102,36.9403,17.41
81,53,-75.677,36.9403,18.22
81,54,-75.6437,36.9403,19.33
81,55,-75.6105,36.9403,21.64
81,56,-75.5772,36.9403,22.37
82,44,-75.9762,36.9071,8.57
82,45,-75.943,36.9071,15.29
82,46,-75.9097,36.9071,17.83
82,47,-75.8765,36.9071,12.3
82,48,-75.8432,36.9071,11.82
82,49,-75.81,36.9071,13.74
82,50,-75.7767,36.9071,15.76
82,51,-75.7435,36.9071,17.35
82,52,-75.7102,36.9071,18.35
82,53,-75.677,36.9071,19.39
82,54,-75.6437,36.9071,22.38
82,55,-75.6105,36.9071,22.34
82,56,-75.5772,36.9071,22.69
83,44,-75.9762,36.874,6.23
83,45,-75.943,36.874,9.54
83,46,-75.9097,36.874,14.97
83,47,-75.8765,36.874,16.01
83,48,-75.8432,36.874,13.52
83,49,-75.81,36.874,15.87
83,50,-75.7767,36.874,17.59
83,51,-75.7435,36.874,18.98
83,52,-75.7102,36.874,20.21
83,53,-75.677,36.874,22.43
83,54,-75.6437,36.874,22.19
83,55,-75.6105,36.874,21.89
83,56,-75.5772,36.874,19.56
84,44,-75.9762,36.8409,2.21
84,45,-75.943,36.8409,9.1
84,46,-75.9097,36.8409,12.47
84,47,-75.8765,36.8409,15.31
84,48,-75.8432,36.8409,16.92
84,49,-75.81,36.8409,17.53
84,50,-75.7767,36.8409,18.09
84,51,-75.7435,36.8409,20.05
84,52,-75.7102,36.8409,22.06
84,53,-75.677,36.8409,21.66
84,54,-75.6437,36.8409,19.89
84,55,-75.6105,36.8409,20.29
84,56,-75.5772,36.8409,19.5
85,45,-75.943,36.8077,8.14
85,46,-75.9097,36.8077,11.05
