"flag","cell","row","col","lon","lat","depth_bm","water_frac","depth_sug"
"mostly_land_remove?",3930,71,10,-77.1069,37.2717,0.16,0.005,0.32
"mostly_land_remove?",3945,71,25,-76.6081,37.2717,2.38,0.019,0.58
"mostly_land_remove?",2173,39,45,-75.943,38.3323,0.12,0.026,0.57
"mostly_land_remove?",4622,83,30,-76.4418,36.874,0.99,0.026,0.72
"mostly_land_remove?",4290,77,34,-76.3088,37.0729,0.38,0.032,0.29
"mostly_land_remove?",4730,85,26,-76.5748,36.8077,0.22,0.04,1.02
"mostly_land_remove?",1884,34,36,-76.2423,38.498,0.44,0.041,0.55
"mostly_land_remove?",3888,70,24,-76.6413,37.3049,1.59,0.042,0.7
"mostly_land_remove?",2099,38,27,-76.5416,38.3654,1.72,0.043,5.12
"mostly_land_remove?",1271,23,39,-76.1425,38.8626,0.13,0.051,2.18
"mostly_land_remove?",2874,52,18,-76.8409,37.9014,0.53,0.056,0.37
"mostly_land_remove?",1439,26,39,-76.1425,38.7631,0.12,0.058,2.19
"mostly_land_remove?",4575,82,39,-76.1425,36.9071,1.52,0.06,2.28
"mostly_land_remove?",2736,49,48,-75.8432,38.0009,0.45,0.063,0.6
"mostly_land_remove?",1595,29,27,-76.5416,38.6637,2.06,0.066,1.66
"mostly_land_remove?",1669,30,45,-75.943,38.6306,0.99,0.07,1.74
"mostly_land_remove?",319,6,39,-76.1425,39.426,0.48,0.072,1.53
"mostly_land_remove?",2792,50,48,-75.8432,37.9677,0.1,0.075,0.45
"mostly_land_remove?",41,1,41,-76.076,39.5917,0.1,0.076,4.44
"mostly_land_remove?",4568,82,32,-76.3753,36.9071,2.87,0.076,2.93
"mostly_land_remove?",3671,66,31,-76.4086,37.4374,0.08,0.077,1.27
"mostly_land_remove?",3217,58,25,-76.6081,37.7026,1.69,0.078,1.06
"mostly_land_remove?",4047,73,15,-76.9406,37.2054,5.64,0.078,4.79
"mostly_land_remove?",3276,59,28,-76.5083,37.6694,1.22,0.079,1.01
"mostly_land_remove?",3989,72,13,-77.0071,37.2386,0.11,0.082,0.69
"mostly_land_remove?",4223,76,23,-76.6746,37.106,1.11,0.084,1.36
"mostly_land_remove?",4175,75,31,-76.4086,37.1391,0.91,0.091,1.72
"mostly_land_remove?",3336,60,32,-76.3753,37.6363,5.93,0.093,6.51
"mostly_land_remove?",1995,36,35,-76.2755,38.4317,0.63,0.095,1.25
"mostly_land_remove?",4003,72,27,-76.5416,37.2386,11.17,0.098,5.28
"mostly_land_remove?",380,7,44,-75.9762,39.3929,0.86,0.1,3.65
"mostly_land_remove?",2647,48,15,-76.9406,38.034,0.15,0.1,0.91
"mostly_land_remove?",935,17,39,-76.1425,39.0614,0.35,0.102,0.93
"mostly_land_remove?",215,4,47,-75.8765,39.4923,0.39,0.104,2
"mostly_land_remove?",2552,46,32,-76.3753,38.1003,2.2,0.104,1.3
"mostly_land_remove?",2053,37,37,-76.209,38.3986,0.36,0.105,0.78
"mostly_land_remove?",4062,73,30,-76.4418,37.2054,7.37,0.106,1.75
"mostly_land_remove?",2156,39,28,-76.5083,38.3323,5.41,0.108,2.89
"mostly_land_remove?",2545,46,25,-76.6081,38.1003,1.91,0.108,1.41
"mostly_land_remove?",530,10,26,-76.5748,39.2934,0.55,0.11,4.89
"mostly_land_remove?",4514,81,34,-76.3088,36.9403,1.53,0.112,1.92
"mostly_land_remove?",1552,28,40,-76.1093,38.6969,0.1,0.113,0.94
"mostly_land_remove?",4451,80,27,-76.5416,36.9734,1.6,0.113,0.8
"mostly_land_remove?",1188,22,12,-77.0404,38.8957,0.39,0.114,2.11
"mostly_land_remove?",529,10,25,-76.6081,39.2934,0.72,0.115,3.31
"mostly_land_remove?",4061,73,29,-76.4751,37.2054,6.97,0.116,2.18
"mostly_land_remove?",1316,24,28,-76.5083,38.8294,0.49,0.117,0.87
"mostly_land_remove?",3573,64,45,-75.943,37.5037,0.67,0.12,1.58
"mostly_land_remove?",4335,78,23,-76.6746,37.0397,3.29,0.121,2.1
"mostly_land_remove?",2041,37,25,-76.6081,38.3986,3.94,0.129,3.34
"mostly_land_remove?",1717,31,37,-76.209,38.5974,0.22,0.13,0.82
"mostly_land_remove?",1927,35,23,-76.6746,38.4649,0.11,0.131,0.29
"mostly_land_remove?",646,12,30,-76.4418,39.2271,1.96,0.132,2.17
"mostly_land_remove?",2170,39,42,-76.0428,38.3323,0.04,0.132,1.4
"mostly_land_remove?",2110,38,38,-76.1758,38.3654,0.89,0.136,1.03
"mostly_land_remove?",2743,49,55,-75.6105,38.0009,0.07,0.136,0.67
"mostly_land_remove?",699,13,27,-76.5416,39.194,1.85,0.137,2.41
"mostly_land_remove?",2487,45,23,-76.6746,38.1334,1.49,0.138,1.99
"mostly_land_remove?",4398,79,30,-76.4418,37.0066,2.9,0.14,5.07
"mostly_land_remove?",4176,75,32,-76.3753,37.1391,0.85,0.141,0.72
"mostly_land_remove?",2145,39,17,-76.8741,38.3323,1.38,0.143,2.41
"mostly_land_remove?",708,13,36,-76.2423,39.194,2.27,0.144,8.82
"mostly_land_remove?",868,16,28,-76.5083,39.0946,2.27,0.147,3.42
